date,open,high,low,close,volume
2019-01-02,8.700000,8.920000,8.690000,8.840000,408800
2019-01-03,8.750000,8.830000,8.670000,8.710000,340400
2019-01-04,8.790000,8.790000,8.630000,8.670000,297800
2019-01-07,8.700000,8.900000,8.650000,8.830000,374000
2019-01-08,8.880000,8.910000,8.740000,8.760000,248900
2019-01-09,8.790000,8.980000,8.790000,8.920000,361200
2019-01-10,8.920000,9.130000,8.850000,9.070000,644700
2019-01-11,9.080000,9.330000,9.080000,9.200000,489800
2019-01-14,9.170000,9.170000,8.970000,9.070000,329000
2019-01-15,9.130000,9.170000,8.980000,9.060000,357600
2019-01-16,9.080000,9.280000,9.060000,9.090000,289500
2019-01-17,9.130000,9.230000,8.930000,9.180000,526500
2019-01-18,9.230000,9.420000,9.180000,9.200000,499100
2019-01-22,9.210000,9.210000,9.030000,9.150000,295300
2019-01-23,9.150000,9.200000,9.120000,9.150000,228100
2019-01-24,9.220000,9.420000,9.210000,9.350000,360500
2019-01-25,9.360000,9.720000,9.350000,9.640000,411700
2019-01-28,9.600000,9.610000,9.370000,9.490000,277000
2019-01-29,9.660000,9.860000,9.550000,9.810000,491400
2019-01-30,9.790000,9.860000,9.580000,9.820000,315900
2019-01-31,9.880000,9.960000,9.670000,9.930000,605200
2019-02-01,8.540000,8.610000,7.530000,8.100000,2769500
2019-02-04,8.110000,8.240000,7.910000,8.010000,937900
2019-02-05,8.000000,8.070000,7.760000,8.040000,864200
2019-02-06,8.020000,8.340000,8.010000,8.210000,787500
2019-02-07,8.180000,8.340000,8.120000,8.230000,751300
2019-02-08,8.190000,8.340000,8.160000,8.280000,583900
2019-02-11,8.280000,8.710000,8.260000,8.660000,803300
2019-02-12,8.750000,8.870000,8.630000,8.670000,766400
2019-02-13,8.650000,8.710000,8.560000,8.700000,609300
2019-02-14,8.710000,8.890000,8.640000,8.790000,780000
2019-02-15,8.800000,9.040000,8.780000,8.950000,603300
2019-02-19,8.950000,9.230000,8.930000,9.130000,645300
2019-02-20,9.110000,9.270000,9.030000,9.070000,495900
2019-02-21,9.030000,9.230000,9.000000,9.160000,749800
2019-02-22,9.130000,9.400000,9.130000,9.380000,531200
2019-02-25,9.430000,9.550000,9.350000,9.400000,565100
2019-02-26,9.360000,9.530000,9.280000,9.520000,869400
2019-02-27,9.560000,9.610000,9.390000,9.400000,321200
2019-02-28,9.350000,9.350000,9.170000,9.210000,478800
2019-03-01,9.190000,9.450000,9.190000,9.320000,430200
2019-03-04,9.330000,9.450000,9.280000,9.330000,256300
2019-03-05,9.340000,9.340000,9.190000,9.200000,346600
2019-03-06,9.170000,9.170000,9.040000,9.060000,404200
2019-03-07,9.050000,9.080000,8.800000,8.860000,365200
2019-03-08,8.790000,8.880000,8.740000,8.830000,152900
2019-03-11,8.850000,9.060000,8.850000,9.000000,363100
2019-03-12,9.020000,9.060000,8.900000,8.970000,214700
2019-03-13,8.970000,9.030000,8.870000,8.910000,256600
2019-03-14,8.880000,8.960000,8.810000,8.920000,406900
