date,open,high,low,close,volume
2019-01-02,50.938993,52.604727,50.843780,52.301731,31868000
2019-01-03,52.102880,52.875990,50.699478,50.853207,41960000
2019-01-04,51.700689,53.557345,51.418025,53.461636,46022000
2019-01-07,53.605447,53.691237,52.696460,53.355019,47446000
2019-01-08,53.854890,54.219378,52.979624,53.823650,35414000
2019-01-09,53.953578,54.134581,53.278157,53.639175,26998000
2019-01-10,53.306427,53.547931,52.797631,53.499332,26598000
2019-01-11,53.056490,53.228568,52.388511,52.787216,30864000
2019-01-14,52.235273,52.488679,51.997738,52.144524,28490000
2019-01-15,52.466866,53.967464,52.289828,53.880184,37518000
2019-01-16,54.053247,54.666181,53.954564,54.028946,38280000
2019-01-17,53.953578,54.583867,53.719013,54.505516,24896000
2019-01-18,54.975130,55.441774,54.513446,54.911160,44892000
2019-01-22,54.350795,54.498080,53.105585,53.489414,39632000
2019-01-23,53.897536,54.199541,52.940946,53.776043,25194000
2019-01-24,53.681820,53.954072,53.062439,53.755711,29114000
2019-01-25,54.263016,54.715775,54.142514,54.624035,23260000
2019-01-28,54.056725,54.220369,53.290058,53.550407,29334000
2019-01-29,53.608918,53.791908,52.864075,53.064419,19704000
2019-01-30,53.426432,54.525351,53.390728,54.449478,29452000
2019-01-31,55.156134,55.921309,54.809500,55.833038,40232000
2019-02-01,55.654517,56.255057,55.255816,55.472523,33116000
2019-02-04,55.491859,56.648797,55.417473,56.603172,78408000
2019-02-05,56.018511,57.166028,55.719484,57.121395,82296000
2019-02-06,56.992461,57.227022,55.459628,55.684273,48256000
2019-02-07,55.135307,55.143737,54.231280,54.842232,38298000
2019-02-08,54.295249,54.802062,54.263514,54.667175,21766000
2019-02-11,54.735111,55.215144,54.549148,54.654278,18498000
2019-02-12,55.095140,56.178687,55.095140,55.916851,35036000
2019-02-13,56.187611,56.674092,55.838496,55.968918,28042000
2019-02-14,55.788907,56.340845,55.396649,55.997185,21106000
2019-02-15,56.498045,56.498045,55.378298,55.522606,27826000
2019-02-19,55.374334,56.019004,55.374334,55.863789,21980000
2019-02-20,55.981317,56.082977,55.131839,55.570213,24090000
2019-02-21,55.480452,55.498801,54.448976,54.757923,33272000
2019-02-22,55.030174,55.404579,54.573946,55.370361,29436000
2019-02-25,55.636664,55.808742,55.248871,55.408550,26208000
2019-02-26,55.261760,55.860314,54.881405,55.640629,35026000
2019-02-27,55.243912,55.825107,54.973647,55.684273,22092000
2019-02-28,55.491364,56.234721,55.462107,55.865768,27422000
2019-03-01,56.086446,57.028660,56.086446,56.955265,34086000
2019-03-04,57.254789,57.798298,56.445972,57.198257,35490000
2019-03-05,57.326192,58.342295,57.178415,57.980286,40094000
2019-03-06,58.107743,58.255520,57.675812,57.769539,23602000
2019-03-07,57.549359,57.702096,56.617558,57.070812,30086000
2019-03-08,56.230257,57.199746,56.046773,57.027172,23694000
2019-03-11,57.127841,58.511902,57.106518,58.479671,30032000
2019-03-12,58.630418,59.791321,58.630418,59.371788,42220000
2019-03-13,59.802230,59.861240,59.404516,59.461544,25888000
2019-03-14,59.459571,59.741243,59.073264,59.137730,27302000
2019-03-15,59.408988,59.593460,58.863989,59.027142,51886000
2019-03-18,58.996897,59.257741,58.589762,58.940365,24442000
2019-03-19,59.097553,59.677265,58.985480,59.630154,29788000
2019-03-20,59.577592,60.995375,59.487834,60.818832,41508000
2019-03-21,60.499970,61.315230,60.330370,61.299858,28150000
2019-03-22,60.938844,61.175883,59.805707,59.887531,34422000
2019-03-25,59.486346,59.976296,59.012264,59.378239,27576000
2019-03-26,59.765536,59.887529,58.603642,59.004330,30752000
2019-03-27,59.107481,59.107481,57.734328,58.417683,29428000
2019-03-28,58.293205,58.379986,57.694652,58.133026,22402000
2019-03-29,58.525286,58.713235,57.840943,58.362137,30890000
2019-04-01,58.890267,59.518078,58.831753,59.457581,27706000
2019-04-02,59.510639,59.796280,59.073751,59.782890,18288000
2019-04-03,60.137962,60.529725,59.760089,60.044239,22180000
2019-04-04,60.068034,60.527240,59.956457,60.472691,21022000
2019-04-05,60.465250,60.519304,60.005549,60.075966,20012000
2019-04-08,60.059105,60.199939,59.741233,59.918766,21750000
2019-04-09,59.601894,59.862735,59.427830,59.641563,19668000
2019-04-10,59.760582,59.951502,59.540898,59.828022,15510000
2019-04-11,59.949517,60.139944,59.733305,59.983734,16998000
2019-04-12,60.282760,60.651217,60.167218,60.635349,24312000
2019-04-15,60.702786,60.961153,60.230194,60.823788,23796000
2019-04-16,60.995877,61.292426,60.749909,61.090595,22622000
2019-04-17,61.343004,61.744686,61.139686,61.498718,30366000
2019-04-18,61.739722,61.786338,61.462514,61.564671,24750000
2019-04-22,61.326638,62.202895,61.162990,62.174133,19084000
2019-04-23,62.316951,63.199159,62.085364,63.008732,31868000
2019-04-24,63.008730,63.177834,62.474151,62.486050,23396000
2019-04-25,62.994350,63.118326,62.384394,62.847565,31344000
2019-04-26,63.147084,63.421318,62.731520,63.347427,27228000
2019-04-29,63.500655,64.316915,63.064264,64.278725,72368000
2019-04-30,59.043510,59.556766,58.665137,59.456596,133178000
2019-05-01,59.384190,59.470974,58.103772,58.185101,74340000
2019-05-02,58.149398,58.485619,57.441745,57.847393,45098000
2019-05-03,58.387922,59.081689,58.196507,58.989948,41588000
2019-05-06,58.119639,59.281537,58.077984,59.183846,31774000
2019-05-07,58.804483,59.248808,57.772511,58.459831,36604000
2019-05-08,58.381975,58.728117,57.902937,58.059147,25520000
2019-05-09,57.653503,58.222300,57.258763,57.919800,29556000
2019-05-10,57.962937,58.331885,56.848645,57.903427,31650000
2019-05-13,56.792613,57.126352,55.813704,56.363655,45626000
2019-05-14,56.647808,56.774262,55.716007,55.781963,40392000
2019-05-15,55.667416,58.432069,55.610388,58.060143,59302000
2019-05-16,58.111703,59.218556,57.943594,58.739513,35308000
2019-05-17,58.309572,58.828284,57.842928,57.959961,25362000
2019-05-20,57.177437,57.177437,56.440527,56.763855,30602000
2019-05-21,57.250827,57.425386,56.696906,57.248844,20562000
2019-05-22,57.090650,57.712013,57.078251,57.318764,18826000
2019-05-23,56.833777,57.031143,56.193568,56.797573,25214000
2019-05-24,57.127839,57.244872,56.369607,56.463829,18554000
2019-05-28,56.606154,57.350502,56.466803,56.510941,20948000
2019-05-29,56.170742,56.284801,55.141748,55.537975,36230000
2019-05-30,55.548395,55.878170,55.337635,55.610878,18088000
2019-05-31,54.828844,55.213660,54.715280,54.871490,31582000
2019-06-03,52.909207,52.912677,50.930562,51.511261,96890000
2019-06-04,51.796396,52.488181,51.376863,52.292297,60512000
2019-06-05,52.317600,52.407358,51.226618,51.803844,46988000
2019-06-06,51.881697,52.069642,51.351083,51.958561,29020000
2019-06-07,52.281887,53.231538,52.126668,52.980610,43828000
2019-06-10,53.408576,54.293267,53.323283,53.694218,28510000
2019-06-11,54.399884,54.748009,53.536026,53.608921,33508000
2019-06-12,53.554877,53.682322,53.041617,53.512726,23670000
2019-06-13,53.790912,54.380041,53.684791,54.103329,20814000
2019-06-14,54.040357,54.289299,53.630744,53.869766,24582000
2019-06-17,54.008624,54.612629,53.954074,54.246159,19770000
2019-06-18,55.119436,55.480451,54.588326,54.809002,34526000
2019-06-19,54.908187,55.016790,54.352280,54.772804,26714000
2019-06-20,55.625255,55.675839,54.896279,55.203739,24018000
2019-06-21,55.038111,55.866761,55.031168,55.807255,50774000
2019-06-24,55.540956,55.717994,55.209199,55.377308,24236000
2019-06-25,55.296972,55.327716,53.785462,53.933243,31644000
2019-06-26,54.102839,54.307151,53.244436,53.573215,34698000
2019-06-27,53.892081,53.976879,53.351547,53.390228,24078000
2019-06-28,53.419988,53.696205,53.249893,53.696205,33672000
2019-07-01,54.600724,54.975132,54.317565,54.549152,29196000
2019-07-02,54.788677,55.188373,54.532792,55.173992,20630000
2019-07-03,55.466566,55.937179,55.285563,55.689228,20154000
2019-07-05,55.509708,56.267446,55.416977,56.169258,29794000
2019-07-08,55.832044,55.898496,55.132330,55.381767,29888000
2019-07-09,55.060917,55.930731,54.903715,55.753693,29472000
2019-07-10,56.151905,56.648797,56.069585,56.577885,30710000
2019-07-11,56.838232,57.189330,56.509452,56.735085,26004000
2019-07-12,56.678062,56.904689,56.461355,56.797573,21878000
2019-07-15,56.797564,57.062377,56.532754,57.053947,21164000
2019-07-16,56.866494,57.454139,56.866494,57.200237,25352000
2019-07-17,57.074291,57.447208,56.861053,56.867004,19538000
2019-07-18,56.631931,56.937905,56.178681,56.891785,25450000
2019-07-19,56.994933,57.107006,56.098840,56.113716,23184000
2019-07-22,56.308112,56.533749,55.799321,56.493580,28914000
2019-07-23,56.703847,56.972130,56.178193,56.931961,20648000
2019-07-24,56.166786,56.803522,55.962969,56.519371,27192000
2019-07-25,56.480685,56.710785,55.724934,56.331421,54762000
2019-07-26,60.896691,62.899634,60.896691,61.750633,121216000
2019-07-29,61.615746,61.937587,61.005786,61.583015,41382000
2019-07-30,60.847101,61.338542,60.763790,60.896694,28616000
2019-07-31,60.741472,61.239356,59.913813,60.410706,39960000
2019-08-01,60.382440,61.308287,59.855295,60.092339,35426000
2019-08-02,59.656934,59.979267,59.012261,59.325672,34910000
2019-08-05,58.167741,58.361642,56.669130,57.264210,47840000
2019-08-06,57.798296,58.585786,57.600430,58.074017,36014000
2019-08-07,57.415465,58.509920,57.070318,58.313545,30686000
2019-08-08,58.835224,59.819589,58.218821,59.815128,30116000
2019-08-09,59.507669,59.729336,58.758857,58.957714,20418000
2019-08-12,58.516361,58.794561,57.956986,58.243614,22064000
2019-08-13,58.236170,59.777432,58.168731,59.345997,28434000
2019-08-14,58.321480,58.654724,57.577628,57.735325,35430000
2019-08-15,57.942603,58.338826,57.673329,57.986736,28506000
2019-08-16,58.555547,58.706797,58.169240,58.477192,24916000
2019-08-19,59.103012,59.973817,59.032100,59.529984,24450000
2019-08-20,59.277577,59.408990,58.667616,58.691418,20206000
2019-08-21,59.300882,59.535939,58.909120,59.090618,14152000
2019-08-22,59.200703,59.447662,58.462306,59.087639,17352000
2019-08-23,58.772743,59.293441,57.028658,57.206192,36254000
2019-08-26,57.497285,58.112697,57.269171,58.078976,21166000
2019-08-27,58.665128,58.764307,57.750685,58.061119,23460000
2019-08-28,57.766060,58.441973,57.536955,58.206421,16810000
2019-08-29,58.834733,59.467999,58.778201,59.222530,19636000
2019-08-30,59.525524,59.525524,58.800018,59.038548,18064000
2019-09-03,58.608103,58.966639,57.708540,57.998146,25908000
2019-09-04,58.489086,58.758360,58.096332,58.628929,21312000
2019-09-05,59.193763,60.202429,59.145661,60.112671,26394000
2019-09-06,59.961418,60.150355,59.669826,59.821575,18972000
2019-09-09,59.859263,60.527242,59.169464,59.769505,31854000
2019-09-10,59.314276,60.004074,59.310307,59.790836,27922000
2019-09-11,59.701069,60.622454,59.621227,60.499966,23522000
2019-09-12,60.672049,61.611780,60.626920,61.242336,31644000
2019-09-13,61.100498,61.543836,60.851060,61.493252,23676000
2019-09-16,61.017684,61.443169,60.757335,61.076698,28218000
2019-09-17,61.076702,61.243820,60.666094,60.989918,20806000
2019-09-18,61.007774,61.305314,60.324918,61.127285,17440000
2019-09-19,61.110919,61.706991,61.110424,61.429783,16554000
2019-09-20,61.176379,61.630625,60.677504,60.987938,37692000
2019-09-23,60.825777,61.475906,60.687421,61.228451,20798000
2019-09-24,61.491771,61.844356,60.035806,60.417152,35804000
2019-09-25,60.302104,61.889486,59.964395,61.786339,26798000
2019-09-26,61.597893,61.723359,61.086124,61.605331,23166000
2019-09-27,61.632108,61.739225,60.261932,60.795029,34122000
2019-09-30,60.529717,60.867425,60.173662,60.556496,24470000
2019-10-01,60.623448,61.137699,59.783391,59.805706,24504000
2019-10-02,59.334601,59.446674,58.150884,58.413216,33030000
2019-10-03,58.681997,59.061857,57.680277,58.984001,28368000
2019-10-04,59.225006,60.126060,59.060367,60.051674,24282000
2019-10-07,59.855298,60.445918,59.724380,59.917286,17040000
2019-10-08,59.447173,59.848852,58.986480,59.018715,20086000
2019-10-09,59.574119,59.927696,59.414932,59.627178,15948000
2019-10-10,59.438739,60.282761,59.402044,59.977783,12842000
2019-10-11,60.699822,60.933887,60.184579,60.287231,22330000
2019-10-14,60.196971,60.791556,60.097297,60.389381,13296000
2019-10-15,60.574354,61.845347,60.545592,61.602852,27584000
2019-10-16,61.581523,62.195449,61.418866,61.640537,22986000
2019-10-17,62.057104,62.669542,61.981231,62.126530,20958000
2019-10-18,62.220251,62.389847,61.498714,61.710464,31624000
2019-10-21,61.923207,62.161733,61.491276,61.704018,18094000
2019-10-22,61.713930,61.924690,61.484329,61.551277,22862000
2019-10-23,61.502185,62.386375,61.502185,62.366043,21282000
2019-10-24,62.439438,62.627383,62.104207,62.439438,20224000
2019-10-25,62.086855,62.880300,61.945525,62.696815,27104000
2019-10-28,63.227421,64.429484,63.094025,63.920689,65428000
2019-10-29,63.277019,63.515053,62.265875,62.516308,52654000
2019-10-30,62.243062,62.881289,62.019908,62.518288,29204000
2019-10-31,62.483578,62.806906,61.961889,62.424068,31904000
2019-11-01,62.771202,63.128252,62.469198,63.091057,28812000
2019-11-04,63.282469,64.095251,63.282469,63.951935,30632000
2019-11-05,64.030784,64.330310,63.940534,64.042686,25148000
2019-11-06,63.975742,64.119550,63.587948,64.021362,24626000
2019-11-07,64.183511,65.590386,64.157231,64.811325,45140000
2019-11-08,64.542556,65.315669,64.542556,64.913490,30392000
2019-11-11,64.665533,64.710170,64.262371,64.381882,17234000
2019-11-12,64.396263,64.930846,64.181538,64.328819,28852000
2019-11-13,64.128969,64.592143,64.077892,64.277740,20538000
2019-11-14,64.219232,65.246743,64.166665,64.920929,28948000
2019-11-15,65.213511,66.130432,65.056801,66.130432,39286000
