date,open,high,low,close,volume
2019-01-02,3.234882,3.429014,3.220272,3.373052,508752000
2019-01-03,3.312882,3.346806,3.161835,3.169263,705552000
2019-01-04,3.242309,3.410441,3.211604,3.372308,585620000
2019-01-07,3.429509,3.587737,3.378252,3.550842,709160000
2019-01-08,3.632308,3.634537,3.389890,3.462442,786016000
2019-01-09,3.513699,3.577833,3.463185,3.530538,617260000
2019-01-10,3.511223,3.604822,3.450804,3.596156,523156000
2019-01-11,3.573871,3.708080,3.546138,3.685299,874764000
2019-01-14,3.633051,3.750422,3.609527,3.725165,730168000
2019-01-15,3.757850,3.797222,3.692727,3.711051,617012000
2019-01-16,3.738288,3.771221,3.680098,3.685546,470104000
2019-01-17,3.652613,3.796726,3.625375,3.756860,493436000
2019-01-18,3.806631,3.911869,3.755127,3.885869,651336000
2019-01-22,3.855660,3.867298,3.653604,3.683813,661552000
2019-01-23,3.739032,3.827679,3.665490,3.696689,591020000
2019-01-24,3.781126,3.925983,3.776422,3.908402,708972000
2019-01-25,3.848974,3.983678,3.746460,3.965602,1154572000
2019-01-28,3.381224,3.507261,3.243796,3.417376,2511528000
2019-01-29,3.371319,3.419604,3.244043,3.258652,1153932000
2019-01-30,3.334671,3.416385,3.255186,3.402023,974228000
2019-01-31,3.398804,3.595165,3.377014,3.559508,842852000
2019-02-01,3.578080,3.634784,3.530537,3.583775,625048000
2019-02-04,3.599622,3.731107,3.577584,3.693964,528592000
2019-02-05,3.705851,3.749679,3.672175,3.713032,542424000
2019-02-06,3.746212,3.852935,3.740764,3.788554,702464000
2019-02-07,3.742251,3.744480,3.607547,3.650385,637120000
2019-02-08,3.583280,3.679603,3.568918,3.668956,461604000
2019-02-11,3.624880,3.679108,3.578080,3.626365,495180000
2019-02-12,3.664747,3.758841,3.650385,3.743241,591060000
2019-02-13,3.772708,3.858632,3.759089,3.785584,605372000
2019-02-14,3.784593,3.854669,3.741508,3.826441,827264000
2019-02-15,4.034935,4.057716,3.873241,3.896021,1516748000
2019-02-19,3.885374,3.959164,3.866308,3.878688,551892000
2019-02-20,3.907907,3.993087,3.896764,3.925983,540988000
2019-02-21,3.938612,3.963126,3.842536,3.857145,448548000
2019-02-22,3.908897,3.960649,3.895278,3.941830,401740000
2019-02-25,4.025278,4.092630,3.920783,3.929450,656020000
2019-02-26,3.924745,3.980707,3.856650,3.890079,488464000
2019-02-27,3.875717,3.902212,3.791280,3.848232,500256000
2019-02-28,3.842035,3.864343,3.801383,3.823692,324944000
2019-03-01,3.873513,3.920113,3.815263,3.877975,357188000
2019-03-04,3.916396,3.939200,3.829640,3.886156,409992000
2019-03-05,3.870539,3.917883,3.816255,3.879711,362924000
2019-03-06,3.870788,3.879215,3.766185,3.768912,403524000
2019-03-07,3.745364,3.755031,3.653651,3.699755,450104000
2019-03-08,3.610521,3.744620,3.589204,3.733962,422416000
2019-03-11,3.757511,4.017034,3.710415,3.994230,859728000
2019-03-12,4.021990,4.074787,3.945893,4.028435,579576000
2019-03-13,4.065864,4.208886,4.058427,4.179637,768900000
2019-03-14,4.188809,4.200707,4.096104,4.103788,519384000
2019-03-15,4.146919,4.251769,4.143449,4.209136,661484000
2019-03-18,4.240614,4.294403,4.160799,4.187817,486992000
2019-03-19,4.282256,4.399748,4.265400,4.355378,854972000
2019-03-20,4.384381,4.437674,4.288206,4.322908,719148000
2019-03-21,4.345961,4.585654,4.341004,4.559380,824312000
2019-03-22,4.532113,4.580696,4.385868,4.399749,747644000
2019-03-25,4.359099,4.423297,4.241359,4.307541,525212000
2019-03-26,4.449075,4.505095,4.327865,4.384133,703508000
2019-03-27,4.409664,4.456016,4.305558,4.374962,474372000
2019-03-28,4.400990,4.459240,4.340509,4.393554,480264000
2019-03-29,4.460230,4.475103,4.409912,4.450811,456896000
2019-04-01,4.542524,4.548473,4.470889,4.518233,483824000
2019-04-02,4.542275,4.580447,4.499393,4.536078,440920000
2019-04-03,4.585653,4.734377,4.580695,4.675383,783504000
2019-04-04,4.660016,4.708847,4.603749,4.666461,457376000
2019-04-05,4.709590,4.750490,4.673153,4.733138,481744000
2019-04-08,4.702650,4.778995,4.678606,4.753960,424192000
2019-04-09,4.720497,4.731651,4.649109,4.691248,439972000
2019-04-10,4.690504,4.787422,4.686042,4.761643,444772000
2019-04-11,4.764122,4.795602,4.698436,4.747762,374600000
2019-04-12,4.786432,4.790398,4.701164,4.709839,471708000
2019-04-15,4.702155,4.707112,4.538558,4.578218,440092000
2019-04-16,4.617382,4.684060,4.584663,4.665221,394964000
2019-04-17,4.700172,4.720994,4.620109,4.642418,351004000
2019-04-18,4.649110,4.683068,4.590116,4.617877,380988000
2019-04-22,4.594330,4.687283,4.562850,4.671667,279936000
2019-04-23,4.684803,4.757430,4.675136,4.726198,346856000
2019-04-24,4.736609,4.779243,4.675880,4.738592,318204000
2019-04-25,4.698436,4.720744,4.553430,4.632997,499296000
2019-04-26,4.479315,4.483777,4.295641,4.414372,868988000
2019-04-29,4.422306,4.472872,4.350175,4.445110,391920000
2019-04-30,4.412887,4.512036,4.393801,4.486506,362920000
2019-05-01,4.538806,4.580945,4.473119,4.473368,354280000
2019-05-02,4.483035,4.582432,4.439905,4.540790,394684000
2019-05-03,4.549217,4.559131,4.474855,4.536327,336824000
2019-05-06,4.350175,4.470145,4.312994,4.458000,422176000
2019-05-07,4.409663,4.409663,4.242845,4.290932,555220000
2019-05-08,4.263419,4.391073,4.251521,4.311010,419168000
2019-05-09,4.242102,4.251769,4.099823,4.218554,660248000
2019-05-10,4.187817,4.253256,4.065120,4.184595,569500000
2019-05-13,4.052727,4.075779,3.911687,3.927551,656912000
2019-05-14,3.967210,4.051735,3.928542,4.016537,524880000
2019-05-15,3.961013,3.991997,3.901771,3.955560,502320000
2019-05-16,3.950107,4.013314,3.907721,3.970680,781088000
2019-05-17,3.928790,4.057932,3.840548,3.879959,1022068000
2019-05-20,3.781305,3.836333,3.736688,3.761476,572064000
2019-05-21,3.822204,3.859385,3.783536,3.843521,361848000
2019-05-22,3.804854,3.830880,3.761723,3.772630,325868000
2019-05-23,3.710414,3.710414,3.591930,3.651668,591844000
2019-05-24,3.670506,3.705704,3.591187,3.597880,357584000
2019-05-28,3.615479,3.648198,3.550783,3.552767,428356000
2019-05-29,3.505175,3.540125,3.443950,3.478652,559800000
2019-05-30,3.481879,3.517613,3.413884,3.452100,394300000
2019-05-31,3.403213,3.470463,3.359786,3.361523,389720000
2019-06-03,3.372690,3.411402,3.290550,3.319833,478644000
2019-06-04,3.383857,3.553844,3.361771,3.548632,641836000
2019-06-05,3.622335,3.627794,3.469719,3.505949,511616000
2019-06-06,3.510169,3.592556,3.507687,3.567989,408140000
2019-06-07,3.573944,3.644917,3.554836,3.610671,348856000
2019-06-10,3.666755,3.751872,3.666755,3.683381,402780000
2019-06-11,3.743187,3.780906,3.701497,3.740953,383872000
2019-06-12,3.697526,3.703730,3.612905,3.628042,358892000
2019-06-13,3.650129,3.697527,3.632510,3.679163,308080000
2019-06-14,3.586105,3.610424,3.544662,3.589330,394428000
2019-06-17,3.587593,3.635983,3.564762,3.599008,276040000
2019-06-18,3.660303,3.849149,3.649384,3.793811,581920000
2019-06-19,3.829048,3.840463,3.773709,3.799766,331644000
2019-06-20,3.890343,3.904240,3.809693,3.824086,350168000
2019-06-21,3.809196,3.858331,3.759565,3.766017,434428000
2019-06-24,3.787358,3.817881,3.740208,3.788351,282948000
2019-06-25,3.793314,3.868258,3.756339,3.759069,311868000
2019-06-26,3.886373,4.013181,3.873469,3.952134,584072000
