date,open,high,low,close,volume
2019-01-02,144.322622,148.872426,144.217479,148.040848,58576700
2019-01-03,145.861525,146.492370,142.888855,143.204285,74820200
2019-01-04,145.612967,150.067194,145.039471,149.331192,74709300
2019-01-07,149.703981,151.845072,149.216507,151.109070,52059300
2019-01-08,152.495120,153.039957,150.258451,152.476013,49388700
2019-01-09,153.068602,154.387669,152.428189,153.718582,46491700
2019-01-10,152.552441,154.244271,151.692174,154.158249,38943400
2019-01-11,153.250211,153.756806,152.734048,153.594315,30176600
2019-01-14,152.294348,152.896533,151.587019,152.237000,30710200
2019-01-15,152.934732,155.419927,152.848709,155.209641,40874200
2019-01-16,155.467741,156.547847,155.123637,155.181000,33812200
2019-01-17,154.683991,157.102271,154.435477,156.404510,39329000
2019-01-18,157.503664,158.688914,156.586064,157.952911,57183200
2019-01-22,156.815443,156.891912,153.661161,154.789062,56711700
2019-01-23,155.582424,156.289738,153.240614,154.989792,38106100
2019-01-24,155.496381,156.222831,154.903764,155.993423,32417800
2019-01-25,157.245592,158.335251,156.710323,157.857330,36515900
2019-01-28,155.821403,155.916978,154.607479,155.907425,33491200
2019-01-29,155.993453,156.031695,153.881050,154.435440,30784200
2019-01-30,156.184633,158.937464,155.697159,158.363953,41346500
2019-01-31,159.338870,161.527756,159.119030,160.734406,37258400
2019-02-01,159.941059,161.154983,159.616076,160.055756,32143700
2019-02-04,160.084511,162.043991,159.941140,162.043991,26718800
2019-02-05,162.263783,163.668872,162.196882,163.477707,28156400
2019-02-06,163.515920,163.802661,162.254201,162.990204,27970000
2019-02-07,161.566038,161.967490,159.577884,160.801361,42036200
2019-02-08,159.396211,161.145404,159.214613,161.116730,29020700
2019-02-11,161.699855,162.091754,160.562400,160.963852,21434100
2019-02-12,162.139516,163.582833,161.852761,163.343872,29722100
2019-02-13,164.070265,164.557754,163.276929,163.458527,26094100
2019-02-14,162.875550,164.242412,162.330727,163.659348,30326800
2019-02-15,164.901909,164.940136,163.582842,164.347519,32521700
2019-02-19,163.840923,165.169543,163.812248,164.672501,19487700
2019-02-20,164.787215,165.437196,163.754918,164.643845,32593000
2019-02-21,164.204117,164.653364,163.171821,164.041626,25207400
2019-02-22,164.395363,165.370312,164.309326,165.255615,27735400
2019-02-25,166.517260,166.947386,165.743016,165.857727,32608800
2019-02-26,165.456319,166.555532,165.179117,166.029816,21939700
2019-02-27,165.265164,166.125431,164.175504,165.924698,25162000
2019-02-28,165.408480,166.134915,165.073929,165.542297,25085500
2019-03-01,166.737096,166.937814,165.532725,166.689301,31431200
2019-03-04,167.788602,168.027563,164.854173,166.718063,38063500
2019-03-05,166.842316,167.358464,166.020291,166.842316,22319900
