date,open,high,low,close,volume
2019-01-02,30.876532,31.345650,30.705943,31.149473,5273100
2019-01-03,30.143011,30.296541,29.230362,29.307127,15998000
2019-01-04,29.392413,29.878590,29.179177,29.827415,14178200
2019-01-07,29.861521,30.253877,29.827406,30.049170,6850800
2019-01-08,29.946825,30.006530,29.545940,29.801823,11462600
2019-01-09,30.134478,30.671829,30.134478,30.373301,11770300
2019-01-10,30.245360,31.115362,30.194185,31.064184,7894600
2019-01-11,31.089775,31.362717,30.910658,31.226246,7232700
2019-01-14,30.816829,30.868004,30.467123,30.501238,6146200
2019-01-15,30.740065,30.902123,30.535357,30.740065,10165800
2019-01-16,30.620653,30.731533,30.398886,30.398886,8727400
2019-01-17,29.784764,31.175062,29.708003,30.953299,21916900
2019-01-18,30.910656,31.567419,30.842419,31.422421,12905900
2019-01-22,31.132419,31.354183,30.791241,31.021536,13381700
2019-01-23,31.158005,31.337126,30.910654,31.123890,13918600
2019-01-24,31.456543,32.104778,31.371247,32.104778,14094100
2019-01-25,32.411827,32.633591,32.309475,32.531239,16763700
2019-01-28,31.490651,32.121830,31.473595,31.934181,14086500
2019-01-29,31.806242,31.806242,30.961827,30.987417,10100800
2019-01-30,31.396817,31.942699,30.953286,31.882994,9281600
2019-01-31,31.823297,32.497120,31.823297,32.087708,7633400
2019-02-01,32.198604,32.300957,31.934191,32.045074,6438300
2019-02-04,31.985363,32.420362,31.883011,32.360657,7283800
2019-02-05,32.343600,32.642132,32.309484,32.625072,7314000
2019-02-06,32.770066,33.111244,32.676245,33.043011,8795200
2019-02-07,32.727426,32.804191,32.266840,32.514191,7916200
2019-02-08,32.164467,32.343584,31.985350,32.232704,7147200
2019-02-11,32.343589,32.659180,32.266827,32.659180,8860700
2019-02-12,32.957714,33.068598,32.787125,32.957714,8831200
2019-02-13,32.727413,32.821238,32.454472,32.522709,7155600
2019-02-14,32.343602,32.590956,32.207131,32.463017,7782800
2019-02-15,32.335060,32.650648,32.300942,32.488590,6257600
2019-02-19,32.599476,32.974769,32.497120,32.804180,8105700
2019-02-20,33.205065,33.699770,33.170946,33.264771,7178600
2019-02-21,33.324480,33.418304,33.094185,33.247715,4607300
2019-02-22,33.367121,33.614475,33.333006,33.597416,5117800
2019-02-25,34.006830,34.049477,33.674183,33.759480,5101500
2019-02-26,33.614488,33.836252,33.588901,33.776546,5587300
2019-02-27,33.699780,33.768017,33.315958,33.648605,8194900
2019-02-28,33.367128,33.512130,33.264776,33.307423,5705100
2019-03-01,33.571829,33.708299,33.435358,33.597416,5299200
2019-03-04,33.546245,33.546245,33.017419,33.392715,7081100
2019-03-05,33.222128,33.460951,32.974774,33.281834,7192400
2019-03-06,33.315950,33.452421,33.077124,33.085655,4433400
2019-03-07,33.068592,33.162416,32.727414,32.949181,4231300
2019-03-08,32.369177,32.735943,32.360646,32.582413,5066200
