benchmark,horizon,regime,mean,lo,hi,n
SPY,1,ALL(base rate),0.0007134285043761065,0.00014982794976730327,0.0012727507185665234,1866
SPY,1,expansion,0.0011097299458086621,0.00017564197828768614,0.0019796118911270285,339
SPY,1,compression,0.0005751950739278566,-0.0003138202685165377,0.0014503048197810542,281
SPY,1,washout,0.0010680149188084403,-0.0005064295727742913,0.0025051049908322138,177
SPY,1,neutral,0.0003982114890266256,-0.0006778652886885815,0.0014523562830584592,818
SPY,1,warmup,0.001110174036295127,0.0001606900388559329,0.0020070962987356533,251
SPY,3,ALL(base rate),0.002148586156133859,0.0012585479000802558,0.003048475455938191,1864
SPY,3,expansion,0.0021895514422532875,0.0005502184424909508,0.003772740659801137,339
SPY,3,compression,0.003113607844881257,0.0017261114227581703,0.004451305486455512,279
SPY,3,washout,0.0014247070134628193,-0.0012005542788410574,0.0040530362237776426,177
SPY,3,neutral,0.0015679890266618844,-0.00020350310578258585,0.0031685833763024957,818
SPY,3,warmup,0.0034231948294638948,0.0018421056447999425,0.0049587087981293595,251
SPY,5,ALL(base rate),0.0035555864443165414,0.0024007001274964756,0.004680936843866134,1862
SPY,5,expansion,0.004144831506112504,0.0023434514438691527,0.005942758023038852,339
SPY,5,compression,0.004146384393577217,0.0022239127687676604,0.0059710063920805296,278
SPY,5,washout,0.003299930334531507,-0.00015239452382545193,0.006452591319114166,177
SPY,5,neutral,0.0025695604752809325,0.0003690475877780198,0.004730628403881395,817
SPY,5,warmup,0.005495181831929066,0.003633206003763168,0.0073085020454894244,251
SPY,10,ALL(base rate),0.007037395954380462,0.005502802983890117,0.008585906079801926,1857
SPY,10,expansion,0.007097868931626259,0.004510096629395735,0.009732282112912492,337
SPY,10,compression,0.007322915668226054,0.004453051565855564,0.010015787617592468,276
SPY,10,washout,0.0033323299272717956,-0.0016034766590461852,0.007515633863540105,177
SPY,10,neutral,0.006612629709198821,0.0035657610276891324,0.009492172548270795,816
SPY,10,warmup,0.01063589439467224,0.008033399559245733,0.01304760445584467,251
SPY,20,ALL(base rate),0.013924705995870664,0.011731985206140143,0.015989512095372454,1847
SPY,20,expansion,0.011679836728846489,0.007401456688925753,0.015827282329950666,337
SPY,20,compression,0.01134723447714101,0.006110032593891545,0.01622388122465149,270
SPY,20,washout,0.0054601157695335365,-0.0036302598850566498,0.013199457705298852,176
SPY,20,neutral,0.015506523747433715,0.01166221229100128,0.01938054719857525,813
SPY,20,warmup,0.020523065760248062,0.016989333266469352,0.024021469932922236,251
SPY,60,ALL(base rate),0.03864388950373609,0.035266415126243955,0.04200254874408404,1807
SPY,60,expansion,0.03631834316450153,0.029617722246009913,0.0427703791544836,327
SPY,60,compression,0.030882813337714306,0.02276321254010697,0.038199074748529425,261
SPY,60,washout,0.02504600180168204,0.01565858019119183,0.0343557321226236,171
SPY,60,neutral,0.04576911288994995,0.03994051814755927,0.05161135603316687,797
SPY,60,warmup,0.03638305400772084,0.026985412690679573,0.04473573839613733,251
QQQ,1,ALL(base rate),0.0009508778240011373,0.0002535614247849666,0.0016194625246919773,1866
QQQ,1,expansion,0.001727986296780464,0.0004724500405499884,0.002931673948224819,339
QQQ,1,compression,0.0006076303187726071,-0.0006480992298869439,0.0017585398425583687,281
QQQ,1,washout,0.0011468036465050473,-0.0009086920175252483,0.0030358861631600864,177
QQQ,1,neutral,0.000582542195721246,-0.0006942998517021863,0.0018405157374435327,818
QQQ,1,warmup,0.0013478198560600383,0.00010080274465011567,0.0025703887378689316,251
QQQ,3,ALL(base rate),0.002880017850032295,0.0018443331966076768,0.004013030077655751,1864
QQQ,3,expansion,0.003111013614712769,0.0008872641771377928,0.005109336338879482,339
QQQ,3,compression,0.003685289105249399,0.0016607833123108082,0.005741683346918726,279
QQQ,3,washout,0.0009789241532607558,-0.0022505126249738557,0.004322304169507837,177
QQQ,3,neutral,0.0025124520110779516,0.0004950115120484253,0.0044347761896622795,818
QQQ,3,warmup,0.004211428990115808,0.002274986949656692,0.0060977342573923675,251
QQQ,5,ALL(base rate),0.004764644833234423,0.003389191608726013,0.0062023261846831735,1862
QQQ,5,expansion,0.0055143278700696815,0.002928965152549938,0.008113473181654422,339
QQQ,5,compression,0.0048249381948568286,0.0023426973269615476,0.007352154801573656,278
QQQ,5,washout,0.003639517091488611,-0.0006225238979751007,0.007823138600054926,177
QQQ,5,neutral,0.004053936524526052,0.001393430040196444,0.006470542681368581,817
QQQ,5,warmup,0.006792103775407995,0.0043917872890946365,0.009159951686472212,251
QQQ,10,ALL(base rate),0.009432383509806902,0.007542541985167241,0.011331962649891527,1857
QQQ,10,expansion,0.009233368311532812,0.0058290609908066395,0.012686541016579017,337
QQQ,10,compression,0.009002324684311148,0.005136422535772268,0.012882108706868881,276
QQQ,10,washout,0.0039047225453245765,-0.0023085788157807233,0.009420454676625232,177
QQQ,10,neutral,0.009657525355556392,0.00604042539723288,0.013116951135781183,816
QQQ,10,warmup,0.01333853730357974,0.009947237743688718,0.0164754627445852,251
QQQ,20,ALL(base rate),0.018735780751051367,0.015974790681403627,0.02135746249914395,1847
QQQ,20,expansion,0.016920689493942792,0.01136872805215542,0.022217200778779728,337
QQQ,20,compression,0.014383866760642728,0.007991532078028269,0.020774826737964033,270
QQQ,20,washout,0.005212183591422239,-0.0038930176758836207,0.013470023044172833,176
QQQ,20,neutral,0.021450654626419614,0.016564059619324,0.026168761768310365,813
QQQ,20,warmup,0.026543203740996637,0.021923119647733084,0.0311926233238923,251
QQQ,60,ALL(base rate),0.05199272927555489,0.04757719639488684,0.05649134355062223,1807
QQQ,60,expansion,0.044434510778302544,0.03613206132752342,0.05290354334972145,327
QQQ,60,compression,0.03329219648020408,0.02426478601496164,0.041718190524445,261
QQQ,60,washout,0.02645406757622413,0.014066409576753577,0.039090319211117414,171
QQQ,60,neutral,0.06425434262428631,0.056354531737215975,0.0723622362123133,797
QQQ,60,warmup,0.0597496289561713,0.050297021723982226,0.06835027511784404,251
